Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 39.79     16.10    16.10                             pow
 19.53     24.00     7.90 3307266707     0.00     0.00  MkLiuParticles::operator[](int)
  9.76     27.95     3.95     2001     1.97     3.84  MkLiuSPH::Pair_Count()
  9.12     31.64     3.69     2001     1.84     8.58  MkLiuSPH::Direct_Find()
  5.09     33.70     2.06     2001     1.03     2.11  MkLiuSPH::Int_Force()
  4.42     35.49     1.79 137978343     0.00     0.00  MkLiuKernel::SetupAlphaD()
  2.13     36.35     0.86 137978342     0.00     0.00  MkLiuKernel::SetSmoothLen(double)
  1.52     36.97     0.61 306053169     0.00     0.00  MkDouble::operator()(int)
  1.43     37.55     0.58     2001     0.29     0.54  MkLiuSPH::Art_Visc()
  1.16     38.02     0.47 235666249     0.00     0.00  MkLiuPairs::operator[](int)
  0.72     38.30     0.29 137135148     0.00     0.00  MkLiuPair::DWDX(int)
  0.62     38.55     0.25     2001     0.12     0.18  MkLiuSPH::Norm_Bnd_Density()
  0.49     38.76     0.20  4542680     0.00     0.00  MkLiuKernel::dWdY(double, double, double, double)
  0.47     38.95     0.19  4542680     0.00     0.00  MkLiuKernel::dWdZ(double, double, double, double)
  0.44     39.12     0.18  9070572     0.00     0.00  MkPlane::GetDistance(MkPoint&)
  0.38     39.28     0.15  5265044     0.00     0.00  MkLiuKernel::W(double)
  0.35     39.42     0.14     2002     0.07    11.96  MkLiuSPH::Run()
  0.32     39.55     0.13  4542680     0.00     0.00  MkLiuKernel::dWdX(double, double, double, double)
  0.25     39.65     0.10                             __fpclassify
  0.25     39.75     0.10                             ldexp
  0.22     39.84     0.09     2001     0.04     0.30  MkLiuSPH::Direct_Bnd_Find()
  0.20     39.92     0.08  4546683     0.00     0.00  MkLiuPair::Clear()
  0.12     39.97     0.05 15436969     0.00     0.00  MkLiuBoundarys::operator[](int)
  0.12     40.02     0.05     2001     0.02     0.07  MkLiuSPH::Pair_Bnd_Count()
  0.12     40.07     0.05                             floor
  0.11     40.12     0.04  4332000     0.00     0.00  MkDouble::operator()(int, int)
  0.10     40.16     0.04     2001     0.02     0.05  MkLiuParticles::Draw()
  0.09     40.19     0.04                             MkLiuKernel::MkLiuKernel(MkKernelType, int, double)
  0.07     40.22     0.03   722361     0.00     0.00  MkLiuParticle::SetupColor()
  0.07     40.25     0.03   722361     0.00     0.00  MkLiuParticle::Draw()
  0.07     40.28     0.03     2001     0.01    11.84  MkLiuSPH::Single_Step()
  0.05     40.30     0.02  3122600     0.00     0.00  MkPoint::MkPoint(double, double, double)
  0.05     40.32     0.02  1444722     0.00     0.00  MkLiuParticle::GetParticleType()
  0.05     40.34     0.02    22013     0.00     0.00  MkDouble::MkDouble(int)
  0.05     40.36     0.02     4004     0.00     0.03  MkLiuPairs::Initialize(int)
  0.05     40.38     0.02     2001     0.01     0.02  MkLiuSPH::Art_Bnd_Repel()
  0.05     40.40     0.02     2001     0.01     0.03  MkLiuSPH::Ext_Force()
  0.05     40.42     0.02                             frexp
  0.02     40.43     0.01  4546683     0.00     0.00  MkLiuPair::MkLiuPair()
  0.02     40.44     0.01  3090564     0.00     0.00  MkPlane::GetNearestPoint(MkPoint&)
  0.02     40.45     0.01  3090564     0.00     0.00  MkPoint::operator=(MkPoint const&)
  0.02     40.46     0.01    40052     0.00     0.00  MkMatrix4::operator*=(MkMatrix4&)
  0.00     40.46     0.00  7233615     0.00     0.00  MkLiuBoundarys::GetSize()
  0.00     40.46     0.00  4544409     0.00     0.00  MkLiuPair::~MkLiuPair()
  0.00     40.46     0.00   923483     0.00     0.00  MkLiuParticle::GetSmoothLen()
  0.00     40.46     0.00   722361     0.00     0.00  MkLiuParticle::SetEta(double)
  0.00     40.46     0.00   722361     0.00     0.00  MkLiuSPH::C_art_water(double)
  0.00     40.46     0.00   722361     0.00     0.00  MkLiuSPH::P_art_water(double)
